run_id,roi_prior_mu,roi_prior_sigma,roi_prior_dist,qc_status_code,qc_primary_review_check,qc_flagged_channels
"multi|google,meta,tiktok|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",0.5,0.5,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
"multi|google,meta,tiktok|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",0.5,1.0,LogNormal,REVIEW,ROIConsistency,google
"multi|google,meta,tiktok|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",0.5,1.5,LogNormal,PASS,,
"multi|google,meta,tiktok|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,0.5,LogNormal,REVIEW,Baseline,
"multi|google,meta,tiktok|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
"multi|google,meta,tiktok|1.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.5,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
"multi|google,meta,tiktok|1.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,0.5,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|1.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.0,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
"multi|google,meta,tiktok|1.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.5,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
"multi|google,meta,tiktok|2.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",2.0,0.5,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|2.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",2.0,1.0,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|2.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",2.0,1.5,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
"multi|google,meta,tiktok|2.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",2.5,0.5,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|2.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",2.5,1.0,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|2.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",2.5,1.5,LogNormal,REVIEW,Baseline,
"multi|google,meta,tiktok|3.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",3.0,0.5,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|3.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",3.0,1.0,LogNormal,FAIL,Baseline,
"multi|google,meta,tiktok|3.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",3.0,1.5,LogNormal,FAIL,Baseline,
